Outbreak ID,Date,Year,Province ,Territory ,Health Zone,Cases,Deaths,CFR (%),Population,"Cases/100,000","Deaths/100,000"
COD78-5-12-1,12 May,1978,Tanganyika,Kalemie,,312,96,30.769,"24,956,358",1.2502,0.3847
COD78-5-12-1,12 May,1978,Sud-Kivu,,,,,,,,
COD78-5-12-1,12 May,1978,Sud-Kivu,Uvira,,"3,295",258,7.830,"24,956,358",,1.0338
COD78-5-12-1,12 May,1978,Sud-Kivu,Bakavu,,"1,029",35,3.401,"24,956,358",,0.1402
COD78-5-12-1,12 May,1978,Sud-Kivu,Kabare,Katana,"4,500",145,3.222,"24,956,358",,0.5810
COD87-8-1-1,1 Aug,1987,Maï-Ndombe,Bolobo,,,48,,"31,528,708",,0.1522
COD96-4-4-1,4 Apr,1996,Kinshasa,,,147,33,22.449,"42,757,243",0.3438,0.0772
COD96-4-4-1,4 Apr,1996,,Barumbu,,,,,,,
COD96-4-4-1,4 Apr,1996,,Limete,,,,,,,
COD96-4-4-1,4 Apr,1996,Kongo-Central,Kingwala,,,,,,,
COD96-7-5-1,5 Jul,1996,,,,821,179,21.803,"42,757,243",1.9201,0.4186
COD96-11-15-1,15 Nov,1996,,,,2,,,"42,757,243",0.0047,
COD96-11-16-1,16 Nov,1996,Kinshasa,,,821,179,21.803,"42,757,243",1.9201,0.4186
COD96-11-16-2,16 Nov,1996,Nord-Kivu,Goma,Sake,"1,133",23,2.030,"42,757,243",2.6498,0.0538
COD96-12-13-1,13 Dec,1996,Nord-Kivu,Goma,,"1,133",23,2.030,"42,757,243",2.6498,0.0538
COD97-4-15-1,15 Apr,1997,,,,,,,,,
COD97-4-15-1,15 Apr,1997,Kinshasa,,,,,,,,
COD97-4-15-1,15 Apr,1997,Equateur ,,,,,,,,
COD97-12-18-1,18 Dec,1997,Zaire,,Kapalata Camp,800,54,6.750,"43,827,180",1.8254,0.1232
COD98-1-1-1,1 Jan,1998,,,,"9,605",746,7.767,"44,849,967",21.4158,1.6633
COD98-1-1-1,1 Jan,1998,Ituri,Bunia,,,,,,,
COD98-1-1-1,1 Jan,1998,Sud-Kivu,Bukavu,,,,,,,
COD98-1-6-1,6 Jan,1998,Tshopo,Kisangani,,800,54,6.750,"44,849,967",1.7837,0.1204
COD98-4-1-1,1 Apr,1998,,,,"3,962",115,2.903,"44,849,967",8.8339,0.2564
COD98-4-1-1,1 Apr,1998,Sud-Kivu,,,,,,,,
COD98-4-1-1,1 Apr,1998,Nord-Kivu,,,,,,,,
COD98-5-19-1,19 May,1998,Ituri,Bunia,,"9,605",746,7.767,"44,849,967",21.4158,1.6633
COD98-10-1-1,1 Oct,1998,Sud-Kivu,Shabunda,,,30,,"44,849,967",,0.0669
COD99-12-9-1,9 Dec,1999,Kinshasa,,,74,4,5.405,"45,919,613",0.1612,0.0087
COD01-2-1-1,1 Feb,2001,Nord-Kivu,Goma,,677,8,1.182,"48,428,545",1.3979,0.0165
COD01-10-1-1,1 Oct,2001,Haut-Katanga ,,,851,72,8.461,"48,428,545",1.7572,0.1487
COD01-10-1-1,1 Oct,2001,,Lubumbashi,,,,,,,
COD01-10-1-1,1 Oct,2001,,Ankoro,,,,,,,
COD01-10-1-1,1 Oct,2001,,Kabalo,,,,,,,
COD01-10-1-1,1 Oct,2001,,Kongolo,,,,,,,
COD01-10-1-1,1 Oct,2001,,Kelemie,,,,,,,
COD01-11-1-1,1 Nov,2001,Haut-Katanga ,,,"6,099",502,8.231,"48,428,545",12.5938,1.0366
COD02-3-5-1,5 Mar,2002,Haut-Katanga ,,,"5,021",407,8.106,"49,871,666",10.0678,0.8161
