Day_month,Year,Province,Territory ,OCV_delivered,,,,,,,,
1 Jul,2014,Haut-Katanga ,,"51,000",,,,,,,,
1 Jan,2015,Tanganyika,Kalemie,"120,000",,,,,,,,
1 Jan,2016,Kinshasa,,"375,000",,,,,,,,
8 Dec,2018,Kasaï,,"49,228",,,,,,,,
8 Dec,2018,Kasaï-Oriental ,,"845,463",,,,,,,,
8 Dec,2018,Haut-Lomami,,"130,562",,,,,,,,
8 Dec,2018,Sankuru,,"210,719",,,,,,,,
1 Jan,2019,Nord-Kivu,,"835,183",,,,,,,,
27 May,2019,Nord-Kivu,,"800,000",,,,,,,,
22 Dec,2019,DRC,,"2,070,972",,,,,,,,
25 Mar,2018,Maï-Ndombe,Yumbi,"30,000",,,,,,,,
